	0	1	2	3	4	5	6	7	8	9
response selection	perception	default mode network	spatial attention	reading	risk	face perception	stress	visual search	attention	object recognition
word recognition	language	intonation	phonological processing	listening	default mode network	language processing	prosody	semantic processing	syntactic processing	reading
economic value processing	crossmodal	visual search	face perception	happiness	visual perception	object recognition	balance	visual attention	competition	Semantic priming
self control	movement	coordination	skill	motor learning	rhythm	motor control	imagery	search	risk	sequence learning
visual face recognition	object recognition	visual attention	emotion	fixation	multisensory	mood	egocentric	listening	spatial attention	visual perception
interference resolution	working memory	belief	intention	desire	reasoning	prospective memory	memory retrieval	attention	memory	cueing
arithmetic processing	movement	perception	multisensory	memory	risk	multisensory integration	coordination	decision making	mood	emotion
auditory perception	emotion	working memory	movement	default mode network	rehearsal	planning	maintenance	imagery	valence	motor control
visual perception	cognitive control	monitoring	perception	working memory	inhibition	face perception	response inhibition	maintenance	face recognition	facial expression
social cognition	coordination	navigation	movement	pain	cueing	attention	motor control	visual attention	rhythm	motor planning
relational comparison	movement	imagery	risk	emotion	coordination	default mode network	rehearsal	planning	stress	association
color perception	movement	listening	action	spatial attention	coordination	imagery	motor control	speech perception	visual perception	risk
pattern recognition	pain	recognition	face perception	reading	object recognition	face recognition	long term memory	encoding	memory	visual search
sentence processing	face perception	recognition	face recognition	reading	object recognition	long term memory	pain	adaptation	encoding	Repetition priming
resistance to distractor inference	working memory	belief	intention	desire	reasoning	prospective memory	memory retrieval	attention	memory	cueing
risk	listening	speech perception	melody	intonation	speech production	prosody	speech processing	integration	language	hallucination
right toe response execution	movement	coordination	memory	motor learning	imagery	multisensory integration	skill	risk	perception	multisensory
causal inference	movement	default mode network	imagery	rhythm	coordination	motor control	motor planning	planning	stress	theory of mind
auditory word recognition	movement	memory	perception	multisensory	coordination	cognitive control	reasoning	retrieval	judgment	risk
visual string recognition	face perception	face recognition	reading	object recognition	perception	risk	default mode network	recognition	adaptation	stress
decision certainty	default mode network	movement	naming	autobiographical memory	theory of mind	perception	risk	reading	emotion	rehearsal
learning	listening	spatial attention	visual search	attention	face perception	emotional expression	default mode network	visual attention	pain	selective attention
visual tool recognition	working memory	face perception	pain	reading	memory	recognition	default mode network	face recognition	listening	stress
negative feedback processing	spatial attention	object recognition	visual perception	gaze	visual attention	fixation	perception	multisensory	cognitive control	memory retrieval
pattern maintenance	face perception	face recognition	object recognition	recognition	emotional expression	reading	perception	visual search	pain	gaze
visual place recognition	working memory	emotion	theory of mind	maintenance	interference	valence	default mode network	attention	planning	autobiographical memory
auditory tone detection	face perception	happiness	facial expression	fear	face recognition	perception	orthography	rhythm	emotion	rehearsal
judgment	spatial attention	attention	gaze	risk	stress	movement	loss	planning	emotion	attention shift
auditory sentence recognition	spatial attention	emotion	attention	movement	theory of mind	visual attention	valence	visual search	working memory	mental rotation
stimulus detection	spatial attention	attention	perception	face perception	visual perception	default mode network	visual attention	discrimination	movement	selective attention
potential monetary reward	crossmodal	face perception	fear	activation level	gaze	context dependent	happiness	object recognition	thought	facial expression
visual letter recognition	face perception	face recognition	reading	perception	adaptation	facial expression	naming	object recognition	default mode network	gaze
visual color discrimination	listening	speech perception	melody	intonation	prosody	speech processing	speech production	language	integration	multisensory integration
negative emotion	default mode network	multisensory	perception	emotion	face perception	mood	movement	reward processing	visual attention	discrimination
visual object recognition	spatial attention	working memory	default mode network	emotion	attention	theory of mind	valence	visual search	interference	stress
emotional self-evaluation	listening	language	language comprehension	syntactic processing	intonation	syntax	language processing	sentence comprehension	speech perception	spatial attention
proactive control	spatial attention	attention	loss	risk	visual attention	navigation	emotion	stress	gaze	default mode network
spatial selective attention	face perception	reading	face recognition	attention	object recognition	spatial attention	recognition	stress	visual search	risk
visual sentence recognition	theory of mind	movement	fixation	spatial attention	imagery	sentence processing	emotion	language	empathy	communication
tongue response execution	working memory	pain	attention	memory	spatial attention	stress	long term memory	visual search	reading	maintenance
reward anticipation	listening	speech perception	melody	intonation	prosody	speech production	speech processing	hallucination	object recognition	language
inhibition	face perception	object recognition	spatial attention	perception	visual perception	face recognition	visual attention	gaze	attention	default mode network
inference	movement	default mode network	imagery	rhythm	coordination	motor control	motor planning	planning	stress	theory of mind
place maintenance	face perception	perception	face recognition	object recognition	reading	visual perception	default mode network	recognition	risk	adaptation
subjective food value	spatial attention	attention	default mode network	gaze	risk	stress	loss	perception	visual attention	attention shift
language processing	face perception	recognition	face recognition	reading	object recognition	long term memory	pain	adaptation	encoding	Repetition priming
word maintenance	working memory	attention	spatial attention	stress	maintenance	default mode network	interference	emotion	pain	visual search
left hand response execution	face perception	object recognition	recognition	face recognition	reading	visual perception	encoding	Repetition priming	perception	long term memory
motion detection	spatial attention	emotion	attention	working memory	default mode network	valence	stress	reading	theory of mind	visual search
response inhibition	face perception	object recognition	spatial attention	perception	visual perception	face recognition	visual attention	gaze	attention	default mode network
updating	working memory	emotion	default mode network	attention	stress	spatial attention	maintenance	interference	valence	reading
sentence recognition 	face perception	recognition	face recognition	reading	object recognition	long term memory	pain	adaptation	encoding	Repetition priming
object recognition	default mode network	theory of mind	emotion	spatial attention	face perception	reading	risk	belief	movement	autobiographical memory
reinforcement learning	listening	spatial attention	visual search	attention	face perception	emotional expression	default mode network	visual attention	pain	selective attention
positive feedback processing	language	reading	language processing	meaning	syntax	speech perception	syntactic processing	listening	speech production	language comprehension
selective control	face perception	face recognition	perception	object recognition	reading	adaptation	facial expression	default mode network	visual perception	cognitive control
numerical comparison	crossmodal	activation level	coordination	movement	happiness	face perception	memory	deception	task switching	discrimination
anticipation	listening	movement	visual perception	face perception	speech perception	prosody	object recognition	language comprehension	risk	perception
confidence judgment	crossmodal	visual search	face perception	happiness	visual perception	object recognition	balance	visual attention	competition	Semantic priming
feedback processing	movement	perception	retrieval	memory retrieval	memory	default mode network	coordination	episodic memory	reasoning	decision
detection	spatial attention	emotion	default mode network	attention	theory of mind	movement	valence	risk	visual search	stress
memory	movement	imagery	coordination	motor control	recognition	pain	rhythm	motor planning	face recognition	planning
tool maintenance	working memory	face perception	pain	reading	memory	recognition	default mode network	face recognition	listening	stress
visual object detection	movement	coordination	theory of mind	narrative	language comprehension	motor control	autobiographical memory	meaning	default mode network	rhythm
animacy perception	speech production	movement	motor control	coordination	naming	melody	motor planning	pain	imagery	rhythm
emotion recognition	pain	object recognition	face perception	attention	reading	spatial attention	recognition	visual attention	long term memory	stress
risk processing	crossmodal	visual search	face perception	happiness	visual perception	object recognition	balance	visual attention	competition	Semantic priming
language comprehension	default mode network	arousal	language	emotion	salience	decision making	stress	thought	sadness	pain
error detection	default mode network	reading	face perception	spatial attention	risk	stress	emotion	visual search	pain	naming
string maintenance	face perception	face recognition	reading	object recognition	perception	risk	default mode network	recognition	adaptation	stress
perception	working memory	attention	spatial attention	emotion	listening	theory of mind	interference	default mode network	visual search	valence
response execution	emotion	valence	movement	planning	working memory	imagery	maintenance	motor control	attention	fear
high energy density food recognition	speech production	working memory	attention	naming	spatial attention	memory	task difficulty	interference	goal	mental rotation
decision making	movement	emotion	imagery	theory of mind	motor control	planning	rhythm	rehearsal	social cognition	coordination
color recognition	movement	motor control	rhythm	rehearsal	imagery	speech production	motor planning	risk	melody	planning
cognitive control	default mode network	reading	pain	face perception	working memory	theory of mind	interference	attention	autobiographical memory	adaptation
decision	movement	rhythm	coordination	retrieval	judgment	motor control	orthography	memory	fatigue	face recognition
maintenance	working memory	response inhibition	inhibition	monitoring	cognitive control	emotion	meaning	language comprehension	response selection	interference
subjective value judgment	spatial attention	attention	gaze	risk	stress	movement	loss	planning	emotion	attention shift
emotional face recognition	pain	object recognition	face perception	attention	reading	spatial attention	recognition	visual attention	long term memory	stress
auditory tone perception	face perception	reading	attention	spatial attention	visual search	perception	visual attention	risk	task difficulty	stress
face maintenance	movement	pain	coordination	memory	multisensory	imagery	multisensory integration	speech production	decision	cognitive control
categorization	movement	coordination	motor control	rhythm	imagery	memory	motor learning	retrieval	risk	memory retrieval
loss anticipation	listening	speech perception	object recognition	spatial attention	visual perception	movement	language comprehension	prosody	intonation	attention
visual pseudoword recognition	speech production	melody	language production	speech perception	listening	spatial attention	naming	attention	verbal fluency	speech processing
mental representation	working memory	spatial attention	attention	emotion	pain	default mode network	reading	stress	visual search	valence
oddball detection	listening	speech perception	melody	intonation	prosody	multisensory integration	multisensory	hallucination	integration	speech processing
risk seeking	movement	coordination	rhythm	motor control	imagery	rehearsal	motor learning	memory retrieval	risk	retrieval
visual body recognition	default mode network	theory of mind	spatial attention	belief	navigation	listening	object recognition	encoding	face perception	long term memory
visual form recognition	attention	spatial attention	working memory	listening	emotion	theory of mind	visual search	stress	visual attention	interference
discrimination	spatial attention	movement	emotion	attention	theory of mind	autobiographical memory	default mode network	planning	working memory	listening
punishment processing	spatial attention	attention	perception	object recognition	visual attention	face perception	visual perception	selective attention	default mode network	visual search
emotion	default mode network	multisensory	perception	emotion	face perception	mood	movement	reward processing	visual attention	discrimination
