	correct	incorrect	number_images
decision	0.786516853933	0.213483146067	1.0
detection	0.784644194757	0.215355805243	12.0
updating	0.781350482315	0.218649517685	14.0
response inhibition	0.768539325843	0.231460674157	5.0
inhibition	0.768539325843	0.231460674157	5.0
cognitive control	0.766791823112	0.233208176888	27.0
stimulus detection	0.766541822722	0.233458177278	9.0
negative feedback processing	0.758426966292	0.241573033708	4.0
visual object detection	0.757062146893	0.242937853107	4.0
visual string recognition	0.752808988764	0.247191011236	1.0
string maintenance	0.752808988764	0.247191011236	1.0
relational comparison	0.749063670412	0.250936329588	3.0
auditory perception	0.744656917885	0.255343082115	10.0
motion detection	0.741573033708	0.258426966292	1.0
animacy decision	0.741573033708	0.258426966292	1.0
emotional self-evaluation	0.702247191011	0.297752808989	2.0
visual number recognition	0.694339622642	0.305660377358	3.0
selective control	0.693609022556	0.306390977444	6.0
object detection	0.685393258427	0.314606741573	3.0
loss anticipation	0.684410646388	0.315589353612	3.0
high energy density food recognition	0.67816091954	0.32183908046	1.0
working memory	0.674157303371	0.325842696629	2.0
punishment processing	0.636363636364	0.363636363636	2.0
discrimination	0.633802816901	0.366197183099	4.0
object maintenance	0.581132075472	0.418867924528	3.0
risk	0.574712643678	0.425287356322	2.0
numerical comparison	0.561797752809	0.438202247191	1.0
auditory tone discrimination	0.548872180451	0.451127819549	3.0
task difficulty	0.534482758621	0.465517241379	3.0
working memory updating	0.511235955056	0.488764044944	2.0
visual object maintenance	0.477272727273	0.522727272727	2.0
reward anticipation	0.473282442748	0.526717557252	3.0
anticipation	0.450757575758	0.549242424242	3.0
arithmetic processing	0.365168539326	0.634831460674	2.0
auditory word recognition	0.359550561798	0.640449438202	1.0
potential monetary reward	0.272727272727	0.727272727273	1.0
animacy perception	0.103448275862	0.896551724138	1.0
interference resolution	0.0919540229885	0.908045977011	1.0
resistance to distractor inference	0.0919540229885	0.908045977011	1.0
response conflict	0.0919540229885	0.908045977011	1.0
