	add_date	analysis_level	brain_coverage	cognitive_contrast_cogatlas	cognitive_contrast_cogatlas_id	cognitive_paradigm_cogatlas	cognitive_paradigm_cogatlas_id	collection	collection_id	contrast_definition	contrast_definition_cogatlas	description	figure	file	file_size	collection_id	image_type	is_thresholded	map_type	modality	modify_date	name	not_mni	perc_bad_voxels	perc_voxels_outside	reduced_representation	smoothness_fwhm	statistic_parameters	thumbnail	url	image_id
25	2014-06-04T15:14:36.374252Z	group	100.0	dual task classification learning trials	cnt_4ebcaa463d20e	dual-task weather prediction	trm_4ebc98cc77e7b	43	43	dual-task classification learning trials		FSL5.0		http://neurovault.org/media/images/43/task003_cope01_dual-task%20classification.nii.gz	879840	166	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:04.564072Z	task003_001_dual-task classification	False	74.6869422542	0.0	http://neurovault.org/media/images/43/transform_4mm_166.npy			http://neurovault.org/media/images/43/glass_brain_166_1.jpg	http://neurovault.org/images/166/	166
26	2015-03-19T19:32:32.776511Z	group	99.9886205976	0-back Body	cnt_55314b2a72bee	working memory fMRI task paradigm	trm_550b50095d4a3	457	457	0-back Body		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_0BK_BODY_zstat1.nii.gz	1181692	3185	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T04:35:32.192013Z	tfMRI WM 0BK BODY zstat1	False	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3185.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3185_1.jpg	http://neurovault.org/images/3185/	3185
27	2015-03-06T01:30:50.454751Z	group	92.0348559849	attend neutral stimulus	cnt_553a6e7daf8e6	emotional regulation task	trm_4da890594742a	425	425	Look_Neutral_Stim		FSL5.0		http://neurovault.org/media/images/425/task001_cope004_tstat1.nii.gz	812900	2863	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:16.315885Z	task001 cope004 tstat1	False	76.7031637583	0.0	http://neurovault.org/media/images/425/transform_4mm_2863.npy			http://neurovault.org/media/images/425/glass_brain_2863.jpg	http://neurovault.org/images/2863/	2863
28	2014-12-30T22:45:19.552546Z	group	80.4914661423	[why face minus how nonsocial] minus [why nonsocial minus how face]	cnt_554109af50e85	why/how task	trm_53c4465b0466f	297	297	[why face minus how face] minus [why nonsocial minus how nonsocial]		[Why_Face > How_Face] > [Why_Nonsocial > How_Nonsocial]		http://neurovault.org/media/images/297/Tmap_Why_FaceHow_Nonsocial_-_Why_NonsocialHow_Face.nii.gz	218721	1586	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:20.166146Z	[Why_Face > How_Face] > [Why_Nonsocial > How_Nonsocial]	False	63.9426019246	3.17973348741	http://neurovault.org/media/images/297/transform_4mm_1586.npy		18.0	http://neurovault.org/media/images/297/glass_brain_1586.jpg	http://neurovault.org/images/1586/	1586
29	2014-08-20T13:17:00.956002Z	group	81.4101505622	video sentences	cnt_553e865074ad4	functional localizer fMRI tasks	trm_553e85265f51e	94	94	video sentences		Sentence reading		http://neurovault.org/media/images/94/sentence_reading_1.nii.gz	214293	419	statistic_map	False	T map	fMRI-BOLD	2015-12-23T04:34:24.175070Z	Sentence reading	False	64.3846764848	0.859185053836	http://neurovault.org/media/images/94/transform_4mm_419.npy		93.0	http://neurovault.org/media/images/94/glass_brain_419_1.jpg	http://neurovault.org/images/419/	419
30	2015-01-10T05:49:51.250971Z		97.7201804948	reappraise negative rating	cnt_553a6e9a84bd2	emotional regulation task	trm_4da890594742a	307	307			mediation results (Figure 4): activity during cue/anticipation that shows an amygdala-mediated relationship with reappraisal success (a*b mediation path)		http://neurovault.org/media/images/307/Denny_etal_2014_reappraisal_anticipation_2.nii.gz	1344489	1750	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:01:23.924530Z	mediation results	False	61.9033955257	35.0704188489	http://neurovault.org/media/images/307/transform_4mm_1750.npy		25.0	http://neurovault.org/media/images/307/glass_brain_1750.jpg	http://neurovault.org/images/1750/	1750
31	2015-03-05T20:51:40.170829Z	group	99.9164051592	visual targets minus standards	cnt_553a7740160a3	oddball task	tsk_4a57abb949bf6	417	417	visual targets - standards		FSL5.0		http://neurovault.org/media/images/417/model001_task002_cope005_tstat1.nii.gz	878248	2731	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:01:27.167224Z	model001 task002 cope005 tstat1	False	74.7081026645	0.0	http://neurovault.org/media/images/417/transform_4mm_2731.npy			http://neurovault.org/media/images/417/glass_brain_2731.jpg	http://neurovault.org/images/2731/	2731
32	2015-03-06T01:08:28.377309Z	group	97.2523119882	go trial	cnt_5181f863d5591	stop signal task with pseudo word naming	trm_5181f863d24f4	423	423	go		FSL5.0		http://neurovault.org/media/images/423/task003_cope001_tstat1.nii.gz	857169	2826	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:37.919170Z	task003 cope001 tstat1	False	75.3824661073	0.0	http://neurovault.org/media/images/423/transform_4mm_2826.npy			http://neurovault.org/media/images/423/glass_brain_2826.jpg	http://neurovault.org/images/2826/	2826
33	2015-03-10T03:16:07.558169Z	group	99.926909223	successful stop minus go	cnt_4ebca1f15eb7d	conditional stop signal task	trm_4cacf3fbc503b	42	42	succstop minus go		FSL5.0		http://neurovault.org/media/images/42/task002_cope10_succstop_minus_go.nii.gz	878039	3041	statistic_map	False	T map	fMRI-BOLD	2015-12-23T08:18:20.662312Z	task002 010 succstop minus go	False	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_3041.npy			http://neurovault.org/media/images/42/glass_brain_3041.jpg	http://neurovault.org/images/3041/	3041
34	2015-07-20T23:51:13.292903Z	group	77.4735045167	food choice periods of high energy trials versus food choice periods of low energy trials	cnt_55ef440b3f6f2	eating/drinking	trm_4c898c0786246	723	723	Food choice periods of HE trials versus food choice periods of LE trials. 		To determine which brain regions showed differential activation for HE and LE choice periods, the contrast images of HE minus LE choice periods (and vice versa) were entered into one-sample t-test analyses. 	Figure 3	http://neurovault.org/media/images/723/spmT_0001_HEminLE.nii.gz	87745	10924	statistic_map	False	T map	fMRI-BOLD	2015-12-23T08:02:02.341206Z	HE vs LE food choice periods	False	66.2745098039	1.05377906977	http://neurovault.org/media/images/723/transform_4mm_10924.npy			http://neurovault.org/media/images/723/glass_brain_10924.jpg	http://neurovault.org/images/10924/	10924
35	2015-03-05T20:51:38.706233Z	group	99.9562330677	auditory targets minus standards	cnt_553a768dc270f	oddball task	tsk_4a57abb949bf6	417	417	auditory targets - standards		FSL5.0		http://neurovault.org/media/images/417/model001_task001_cope008_tstat1.nii.gz	877141	2729	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:32.924361Z	model001 task001 cope008 tstat1	False	74.6980210031	0.0	http://neurovault.org/media/images/417/transform_4mm_2729.npy			http://neurovault.org/media/images/417/glass_brain_2729.jpg	http://neurovault.org/images/2729/	2729
36	2015-03-19T19:27:24.051838Z	group	99.9820555577	Story minus Math	cnt_55314a1a5514c	language processing fMRI task paradigm	trm_550b54a8b30f4	457	457	Story minus Math		FSL5.0		http://neurovault.org/media/images/457/tfMRI_LANGUAGE_STORY-MATH_zstat1.nii.gz	1177802	3142	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T05:14:59.877746Z	tfMRI LANGUAGE STORY minus MATH zstat1	False	65.7121585945	26.1880759438	http://neurovault.org/media/images/457/transform_4mm_3142.npy	0.0	481.0	http://neurovault.org/media/images/457/glass_brain_3142.jpg	http://neurovault.org/images/3142/	3142
37	2015-03-10T03:16:05.494642Z	group	99.926909223	go-critical minus go-noncritical	cnt_553999f2c69ef	conditional stop signal task	trm_4cacf3fbc503b	42	42	go-critical minus go-noncritical		FSL5.0		http://neurovault.org/media/images/42/task002_cope09_go_crit-go_noncrit.nii.gz	877915	3039	statistic_map	False	T map	fMRI-BOLD	2015-12-23T19:53:11.328361Z	task002 009 go-critical minus go-noncritical	False	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_3039.npy			http://neurovault.org/media/images/42/glass_brain_3039_1.jpg	http://neurovault.org/images/3039/	3039
38	2014-08-20T13:17:00.638435Z	group	81.4101505622	right audio click	cnt_553e85d4af020	functional localizer fMRI tasks	trm_553e85265f51e	94	94	right audio click		Right button press with an auditory cue		http://neurovault.org/media/images/94/right_button_press_auditory_cue_1.nii.gz	213697	394	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:06.999372Z	Right Button Press Auditory Cue	False	64.3846764848	0.859185053836	http://neurovault.org/media/images/94/transform_4mm_394.npy		93.0	http://neurovault.org/media/images/94/glass_brain_394_1.jpg	http://neurovault.org/images/394/	394
39	2014-06-04T15:36:16.194495Z	group	92.351728575	objects	cnt_55399e5388e65	word one-back task	trm_4ebd482eba5b1	46	46	objects		FSL5.0		http://neurovault.org/media/images/46/task001_cope02_Objects.nii.gz	815718	188	statistic_map	False	T map	fMRI-BOLD	2015-12-23T19:43:55.412828Z	task001_002_Objects.nii.gz	False	76.6229536166	0.0	http://neurovault.org/media/images/46/transform_4mm_188.npy			http://neurovault.org/media/images/46/glass_brain_188_1.jpg	http://neurovault.org/images/188/	188
40	2014-06-04T15:12:21.957458Z	group	99.926909223	failed stop-critical 	cnt_4ebca202935c6	conditional stop signal task	trm_4cacf3fbc503b	42	42	failed stop-critical		FSL5.0		http://neurovault.org/media/images/42/task002_cope04_failed%20stop-critical.nii.gz	877599	142	statistic_map	False	T map	fMRI-BOLD	2015-12-23T10:06:20.433207Z	task002 004 failed stop-critical	False	74.7054437648	0.0	http://neurovault.org/media/images/42/transform_4mm_142.npy			http://neurovault.org/media/images/42/glass_brain_142.jpg	http://neurovault.org/images/142/	142
41	2015-03-19T19:32:17.283245Z	group	99.9820555577	Matching	cnt_553149868c670	relational processing fMRI task paradigm	trm_550b5a47aa23e	457	457	Matching		FSL5.0		http://neurovault.org/media/images/457/tfMRI_RELATIONAL_MATCH_zstat1.nii.gz	1178855	3173	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T09:30:21.027504Z	tfMRI RELATIONAL MATCH zstat1	False	65.7151498567	26.1816360493	http://neurovault.org/media/images/457/transform_4mm_3173.npy	0.0	479.0	http://neurovault.org/media/images/457/glass_brain_3173.jpg	http://neurovault.org/images/3173/	3173
42	2015-03-19T19:31:57.008676Z	group	99.9886205976	Left Hand	cnt_55315278ea6cc	motor fMRI task paradigm	trm_550b53d7dd674	457	457	Left Finger (Hand)		FSL5.0		http://neurovault.org/media/images/457/tfMRI_MOTOR_LH_zstat1.nii.gz	1182177	3158	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T11:01:44.371219Z	tfMRI MOTOR LEFT HAND zstat1	False	65.7102752072	26.18728373	http://neurovault.org/media/images/457/transform_4mm_3158.npy	0.0	490.0	http://neurovault.org/media/images/457/glass_brain_3158.jpg	http://neurovault.org/images/3158/	3158
43	2014-12-30T22:46:14.835513Z	group	80.4914661423	[why hand minus how nonsocial] minus [why nonsocial minus how hand]	cnt_554109c5544c8	why/how task	trm_53c4465b0466f	297	297	[why hand minus how hand] minus [why nonsocial minus how nonsocial]		[Why_Hand > How_Hand] > [Why_Nonsocial > How_Nonsocial]		http://neurovault.org/media/images/297/Tmap_Why_HandHow_Nonsocial_-_Why_NonsocialHow_Hand.nii.gz	218625	1587	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:03.526365Z	[Why_Hand > How_Hand] > [Why_Nonsocial > How_Nonsocial]	False	63.9426019246	3.17973348741	http://neurovault.org/media/images/297/transform_4mm_1587.npy		18.0	http://neurovault.org/media/images/297/glass_brain_1587_1.jpg	http://neurovault.org/images/1587/	1587
44	2015-03-19T19:32:36.652365Z	group	99.9886205976	0-back Tool	cnt_55314b5e393d2	working memory fMRI task paradigm	trm_550b50095d4a3	457	457	0-back Tool		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_0BK_TOOL_zstat1.nii.gz	1183452	3188	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T04:37:53.600116Z	tfMRI WM 0BK TOOL zstat1	False	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3188.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3188_1.jpg	http://neurovault.org/images/3188/	3188
45	2014-06-04T15:34:49.218913Z	group	100.0	incorrect minus correct	cnt_553a694a86e65	Eriksen flanker task	tsk_4a57abb949a4f	45	45	incorrect minus correct		FSL5.0		http://neurovault.org/media/images/45/task001_cope08_incorrect_vs_correct.nii.gz	866309	177	statistic_map	False	T map	fMRI-BOLD	2015-12-23T10:04:26.502796Z	task001_008_incorrect_vs_correct.nii.gz	False	74.6869422542	0.0	http://neurovault.org/media/images/45/transform_4mm_177.npy			http://neurovault.org/media/images/45/glass_brain_177.jpg	http://neurovault.org/images/177/	177
46	2015-03-19T19:32:44.785595Z	group	99.9886205976	2-back Place	cnt_55314b12878f7	working memory fMRI task paradigm	trm_550b50095d4a3	457	457	2-back Place		FSL5.0		http://neurovault.org/media/images/457/tfMRI_WM_2BK_PLACE_zstat1.nii.gz	1180786	3193	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T08:50:35.173305Z	tfMRI WM 2BK PLACE zstat1	False	65.6937678714	26.2228006381	http://neurovault.org/media/images/457/transform_4mm_3193.npy	0.0	492.0	http://neurovault.org/media/images/457/glass_brain_3193.jpg	http://neurovault.org/images/3193/	3193
