	DOI	acquisition_orientation	add_date	authors	autocorrelation_model	b0_unwarping_software	contributors	coordinate_space	description	doi_add_date	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	collection_id	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	journal_name	length_of_blocks	length_of_runs	length_of_trials	matrix_size	modify_date	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	name	nonlinear_transform_type	number_of_experimental_units	number_of_imaging_runs	number_of_rejected_subjects	number_of_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	owner	owner_name	paper_url	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	url	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives
98	10.3389/fnhum.2015.00285		2015-12-23T14:08:44.265645Z	Yunjie Tong, Lia M. Hocke, Xiaoying Fan, Amy C. Janes and Blaise deB Frederick					These are the delay maps calculated from resting state data using the method proposed in previous publication (DOI: 10.1002/hbm.22564). Synthetic resting state data sets were generated based on these delay maps. MELODIC ICA was applied on these synthetic data sets. The statistical result was uploaded too.	2015-12-23T14:08:44.265229Z																				1037								Frontiers in Human Neuroscience					2015-12-23T17:29:24.503368Z					Can apparent resting state connectivity arise from systemic fluctuations?												850	ytong	http://www.frontiersin.org/Human_Neuroscience/10.3389/fnhum.2015.00285/abstract																							http://neurovault.org/collections/1037/												
117	10.1038/jcbfm.2014.70		2014-09-24T13:08:35.521194Z	Alexander Schaefer, Eva M Quinque, Judy A Kipping, Katrin Arélin, Elisabeth Roggenhofer, Stefan Frisch, Arno Villringer, Karsten Mueller and Matthias L Schroeter						2014-09-24T13:08:35.521194Z																				135								Journal of Cerebral Blood Flow & Metabolism					2015-12-23T20:20:32.754713Z					Early small vessel disease affects frontoparietal and cerebellar hubs in close correlation with clinical symptoms—a resting-state fMRI study												140	alexschaefer83	http://www.nature.com/doifinder/10.1038/jcbfm.2014.70																							http://neurovault.org/collections/135/												
121	10.1093/cercor/bhu239		2016-01-03T04:32:40.326095Z	Evan M. Gordon, Timothy O. Laumann, Babatunde Adeyemo, Jeremy F. Huckins, William M. Kelley and Steven E. Petersen						2016-01-03T04:32:40.325695Z					http://www.nil.wustl.edu/labs/petersen/Resources.html															1058								Cerebral Cortex					2016-01-06T20:56:20.705684Z					Generation and Evaluation of a Cortical Area Parcellation from Resting-State Correlations												1	ChrisFiloGorgolewski	http://www.cercor.oxfordjournals.org/lookup/doi/10.1093/cercor/bhu239																							http://neurovault.org/collections/1058/												
122	10.1111/obr.12221		2015-05-05T08:00:15.286314Z	I. García-García, A. Horstmann, M. A. Jurado, M. Garolera, S. J. Chaudhry, D. S. Margulies, A. Villringer and J. Neumann					Integration of fMRI studies in obesity, substance addictions and non-substance addictions during reward processing.	2015-05-05T08:00:15.286314Z								True												555								Obesity Reviews					2016-01-04T01:31:03.603600Z					Reward processing in obesity, substance addiction and non-substance addiction												224	IGarcia	http://doi.wiley.com/10.1111/obr.2014.15.issue-11																							http://neurovault.org/collections/555/												
128	10.1007/s00429-010-0255-z		2015-09-16T17:35:58.638311Z	Florian Kurth, Karl Zilles, Peter T. Fox, Angela R. Laird and Simon B. Eickhoff					Various anatomical and functional studies in humans and non-human primates indicate a functional differentiation of the insula. In order to investigate this functional differentiation as well as the mechanisms of the functional integration in the insula, we performed activation-likelihood-estimation (ALE) meta-analyses of 1,768 functional neuroimaging experiments. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:35:58.637887Z					http://anima.modelgui.org/studies/Kurth_Insula_2010															838								Brain Structure and Function					2015-12-23T20:45:16.796368Z					A link between the systems: functional differentiation and integration within the human insula revealed by meta-analysis												555	ANIMA	http://link.springer.com/10.1007/s00429-010-0255-z																							http://neurovault.org/collections/838/												
140	10.1016/j.neuroimage.2015.07.075		2016-01-03T04:42:25.023949Z	Edmund T. Rolls, Marc Joliot and Nathalie Tzourio-Mazoyer						2016-01-03T04:42:25.023523Z					http://www.gin.cnrs.fr/AAL2															1059								NeuroImage					2016-01-03T05:49:44.367680Z					Implementation of a new parcellation of the orbitofrontal cortex in the automated anatomical labeling atlas												1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811915006953																							http://neurovault.org/collections/1059/												
145	10.1016/j.neuroimage.2013.06.041		2015-09-16T16:44:39.411191Z	Mareike Clos, Katrin Amunts, Angela R. Laird, Peter T. Fox and Simon B. Eickhoff					We investigated whether the functional heterogeneity of Broca's region is reflected in distinct modules within cytoarchitectonically-defined left area 44 using meta-analytic connectivity-based parcellation (CBP). Our analysis revealed five separate clusters within left area 44. A post-hoc functional characterization and functional connectivity analysis of these five clusters was then performed, revealing specific and distinct functional characteristics and connectivity patterns. The results demonstrate that left area 44 is heterogeneous, thus supporting anatomical data on the molecular architecture of this region, and provide a basis for more specific interpretations of activations localized in area 44. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 2	2015-09-16T16:44:39.410797Z					http://anima.modelgui.org/studies/Clos_Brocas_2013															827								NeuroImage					2015-12-23T20:25:53.085801Z					Tackling the multifunctional nature of Broca's region meta-analytically: Co-activation-based parcellation of area 44												555	ANIMA	http://linkinghub.elsevier.com/retrieve/pii/S1053811913006782																							http://neurovault.org/collections/827/												
152	10.1016/j.tics.2012.01.005		2013-06-16T15:56:59.039649Z	Mathieu Roy, Daphna Shohamy and Tor D. Wager					 Roy et al 2012 TICS reverse inference maps from the paper on ventromedial prefrontal cortex and generation of affective meaning across domains. Neurosynth-based maps from compound searches identifying default mode, autonomic/endocrine, reward, pain, social cognition, emotion, and other terms.	2013-06-16T15:56:59.039649Z																				7								Trends in Cognitive Sciences					2015-12-23T04:32:58.665565Z					Ventromedial prefrontal-subcortical systems and the generation of affective meaning												13	TorWager	http://linkinghub.elsevier.com/retrieve/pii/S1364661312000277																							http://neurovault.org/collections/7/												
153	10.1093/brain/awt049		2015-03-05T20:53:51.202912Z	J. M. Shine, E. Matar, P. B. Ward, S. J. Bolitho, M. Gilat, M. Pearson, S. L. Naismith and S. J. G. Lewis						2015-03-05T20:53:51.202912Z																				418								Brain					2015-12-23T11:01:37.508734Z					Exploring the cortical and subcortical functional magnetic resonance imaging changes associated with freezing in Parkinson's disease												330	macshine	http://www.brain.oxfordjournals.org/cgi/doi/10.1093/brain/awt049																							http://neurovault.org/collections/418/												
154	10.1016/j.jocn.2011.02.003		2015-03-05T20:58:54.151478Z	James M. Shine, Philip B. Ward, Sharon L. Naismith, Mark Pearson and Simon J.G. Lewis						2015-03-05T20:58:54.151478Z																				419								Journal of Clinical Neuroscience					2015-12-23T11:03:31.740900Z					Utilising functional MRI (fMRI) to explore the freezing phenomenon in Parkinson’s disease												330	macshine	http://linkinghub.elsevier.com/retrieve/pii/S096758681100110X																							http://neurovault.org/collections/419/												
156	10.1016/j.concog.2015.04.020		2014-07-21T10:27:54.946613Z	Nicolas Farrugia, Kelly Jakubowski, Rhodri Cusack and Lauren Stewart						2014-07-21T10:27:54.946613Z																				59								Consciousness and Cognition					2015-12-23T20:48:13.817349Z					Tunes stuck in your brain: The frequency and affective evaluation of involuntary musical imagery correlate with cortical structure												80	nicofarr09	http://linkinghub.elsevier.com/retrieve/pii/S1053810015000975														SPM	8								http://neurovault.org/collections/59/												
157	10.1016/j.neubiorev.2014.11.003		2015-09-16T16:44:36.265220Z	Edna C. Cieslik, Veronika I. Mueller, Claudia R. Eickhoff, Robert Langner and Simon B. Eickhoff					We here investigated the core neural correlates of cognitive action control via coordinate-based meta-analyses of brain activity reported for the Stroop, spatial interference, stop-signal and go/no-go tasks. Our study revealed evidence for a pivotal role of the right anterior insula and right inferior frontal junction in supervisory attentional control, as these were the only two regions consistently involved in all four paradigm classes. Furthermore, the anterior midcingulate cortex and pre-supplementary motor area were commonly recruited by all but the go/no-go task. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T16:44:36.264816Z					http://anima.modelgui.org/studies/Cieslik_SAS_2015															826								Neuroscience & Biobehavioral Reviews					2015-12-23T20:22:29.437584Z					Three key regions for supervisory attentional control: Evidence from neuroimaging meta-analyses												555	ANIMA	http://linkinghub.elsevier.com/retrieve/pii/S0149763414002802																							http://neurovault.org/collections/826/												
159	10.12688/f1000research.2-289.v2		2014-10-21T09:06:04.618062Z	Mitzy Kennis, Arthur R. Rademaker, Sanne J.H. van Rooij, René S. Kahn and Elbert Geuze					Resting state functional connectivity was investigated between PTSD patients with and without comorbid MDD for the subgenual anterior cingulate and insula. Network masks of positive and negative functional connectivity were applied in the group analyses.	2014-10-21T09:06:04.618062Z								True	PTSD with and without MDD											179								F1000Research					2015-12-23T20:26:06.720563Z					Altered functional connectivity in posttraumatic stress disorder with versus without comorbid major depressive disorder: a resting state fMRI study				1.0	50.0							172	F1000Research	http://www.f1000research.com/		50.0												SPM, DPARSF		57.0	35.64	21.0					http://neurovault.org/collections/179/												
160	10.1016/j.neuroimage.2014.03.032		2015-04-29T15:26:57.529084Z	M.C. Keuken, P.-L. Bazin, L. Crown, J. Hootsmans, A. Laufer, C. Müller-Axt, R. Sier, E.J. van der Putten, A. Schäfer, R. Turner and B.U. Forstmann						2015-04-29T15:26:57.529084Z																				550								NeuroImage					2015-12-23T20:18:26.895401Z					Quantifying inter-individual anatomical variability in the subcortex using 7T structural MRI												1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811914001797																							http://neurovault.org/collections/550/												
163	10.1006/nimg.2001.0978		2016-01-03T05:51:26.807161Z	N. Tzourio-Mazoyer, B. Landeau, D. Papathanassiou, F. Crivello, O. Etard, N. Delcroix, B. Mazoyer and M. Joliot						2016-01-03T05:51:26.806730Z					http://www.gin.cnrs.fr/AAL															1060								NeuroImage					2016-01-03T05:53:13.726517Z					Automated Anatomical Labeling of Activations in SPM Using a Macroscopic Anatomical Parcellation of the MNI MRI Single-Subject Brain												1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811901909784																							http://neurovault.org/collections/1060/												
167	10.1186/1471-2202-8-91		2015-03-23T18:54:22.330484Z	Philippe Pinel, Bertrand Thirion, Sébastien Meriaux, Antoinette Jobert, Julien Serres, Denis Le Bihan, Jean-Baptiste Poline and Stanislas Dehaene					A relatively basic brain mapping experiment that includes listening/reading to sentences, left/right hand button press, horizontal/vertical checkerboard viewing and mental subtraction.	2015-03-23T18:54:22.330484Z					http://brainomics.cea.fr/localizer/dataset			False	control subjects								right			461								BMC Neuroscience					2015-09-15T03:47:07.203044Z					Fast reproducible identification and large-scale databasing of individual functional cognitive networks				0.0	94.0							352	bthirion	http://www.biomedcentral.com/1471-2202/8/91																49.0		18.0					http://neurovault.org/collections/461/												
177	10.1038/nmeth.3098		2015-06-15T02:39:01.861617Z	Franco Pestilli, Jason D Yeatman, Ariel Rokem, Kendrick N Kay and Brian A Wandell					Principal diffusion direction map from one of the brains used in the Pestilli et al., 2014 article.	2015-06-15T02:39:01.861617Z																				640								Nature Methods					2015-12-23T08:01:22.877054Z					Evaluation and statistical inference for human connectomes												458	frakkopesto	http://www.nature.com/doifinder/10.1038/nmeth.3098																							http://neurovault.org/collections/640/												
187	10.3389/fnbeh.2014.00184 		2015-07-21T00:01:55.139206Z	Laura N. van der Laan, Denise T. D. de Ridder, Lisette Charbonnier, Max A. Viergever and Paul A. M. Smeets				mni	Despite their intentions, weight-concerned individuals generally fail to control their eating behavior. However, it is unknown whether this failure is due to a lack of effortful self-control, or to not experiencing an internal conflict between weight goals and food temptations. The present study used fMRI, eye tracking and reaction times to assess the degree of conflict experienced by weight-concerned women during food choices that posed either a self-control dilemma (i.e., requiring a choice between healthy and palatable foods), or not. Contrary to the common assumption in self-control theory that food choices posing a self-control dilemma evoke internal conflict, we found that choices requiring self-control induced no conflict, as demonstrated by lower reaction times, fixation durations, number of gaze switches between snacks, and lower activation of the anterior cingulate cortex. Our results suggest that self-control failure might be due to a lack of experienced conflict, rather than to failing to act upon the perception of such conflict. This implies that effectiveness of weight maintenance interventions might be improved if they also focus on increasing the ability to detect a self-control dilemma, in addition to the current focus on increasing self-regulatory capacity.	2015-09-15T07:48:24.473327Z	3.8		3.0	70.0		True		False		REML	randommixedeffects		Factorial design: one sample t-test		False		right	CAnonical	128 s	724	Inclusion criteria: a restraint-score above average or high, age between 18 and 30 years, being right-handed, having a normal weight. Exclusion: Food allergy, eating disorder, many more (see paper). 		SPM 8	linear	Classical (REML)	GLM		Frontiers in Behavioral Neuroscience		714.0	3.5		2015-12-23T16:22:31.542891Z			first image		Sweet lies: neural, visual, and behavioral measures reveal a lack of self-control conflict during food choice in weight-concerned women		100.0	1.0	0.0	20.0		False			realignment, coregistration, normalisation, smoothing		504	lnvdlaan	http://journal.frontiersin.org/article/10.3389/fnbeh.2014.00184/abstract		0.0	2D-Epi sequence (WIP F4H_EPI_1.6s_30sl_sense2 SENSE)	calculuation of SNR maps, movement figures. 	1400.0	4.0	Philips	Achieva	0.0	4.0		8.0		SPM 	8		21.2					eventrelated	http://neurovault.org/collections/724/	False	False	True	True	True	True		False	False	False	True	False
194	10.1016/j.neuroimage.2013.05.081		2016-01-03T17:06:35.154978Z	X. Shen, F. Tokoglu, X. Papademetris and R.T. Constable						2016-01-03T17:06:35.154534Z					http://www.nitrc.org/frs/?group_id=51															1062								NeuroImage					2016-01-03T17:08:20.386216Z					Groupwise whole-brain parcellation from resting-state fMRI data for network node identification												1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811913005818																							http://neurovault.org/collections/1062/												
229	10.1002/hbm.22363		2015-09-16T17:35:27.041790Z	Felix Hoffstaedter, Christian Grefkes, Svenja Caspers, Christian Roski, Nicola Palomero-Gallagher, Angie R. Laird, Peter T. Fox and Simon B. Eickhoff					We here tested the functional connectivity of the aMCC using  (1) resting-state connectivity of the aMCC based on fMRI scans obtained in 100 subjects, and (2) functional connectivity in the context of explicit task conditions using meta-analytic connectivity modeling (MACM) over 656 imaging experiment. Both approaches revealed a convergent functional network architecture of the aMCC with prefrontal, premotor and parietal cortices as well as anterior insula, area 44/45, cerebellum and dorsal striatum. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:35:27.041294Z					http://anima.modelgui.org/studies/Hoffstaedter_aMCC_FC															834								Human Brain Mapping					2015-12-23T20:48:27.989445Z					The role of anterior midcingulate cortex in cognitive motor control												555	ANIMA	http://doi.wiley.com/10.1002/hbm.v35.6																							http://neurovault.org/collections/834/												
243	10.1016/j.neuroimage.2004.12.034		2014-12-16T00:52:47.344174Z	Simon B. Eickhoff, Klaas E. Stephan, Hartmut Mohlberg, Christian Grefkes, Gereon R. Fink, Katrin Amunts and Karl Zilles					"Eickhoff et al., A new SPM toolbox for combining probabilistic cytoarchitectonic maps and functional imaging data. Neuroimage 25(4):1325-35 (2005)
Eickhoff et al., Testing anatomically specified hypotheses in functional imaging using cytoarchitectonic maps. NeuroImage 32(2): 570-582 (2006)
Eickhoff et al., Assignment of functional activations to probabilistic cytoarchitectonic areas revisited. NeuroImage, 36(3): 511-521 (2007)"	2016-01-03T01:56:02.533019Z																				263								NeuroImage					2016-01-03T01:56:12.517308Z					A new SPM toolbox for combining probabilistic cytoarchitectonic maps and functional imaging data												248	jbwexler	http://linkinghub.elsevier.com/retrieve/pii/S105381190400792X																							http://neurovault.org/collections/263/												
246	10.1371/journal.pone.0132209		2015-04-16T11:05:50.683511Z	Mahiko Konishi, Donald George McLaren, Haakon Engen, Jonathan Smallwood						2015-04-16T11:05:50.683511Z																	right			518								PLOS ONE					2015-12-23T11:03:34.104628Z					Shaped by the Past: The Default Mode Network Supports Cognition that Is Independent of Immediate Perceptual Input					20.0							160	mahiko.konishi	http://dx.plos.org/10.1371/journal.pone.0132209																							http://neurovault.org/collections/518/												
249	10.1037/a0030694		2015-09-16T17:36:12.889483Z	Robert Langner and Simon B. Eickhoff					Here we synthesized what we have learned from functional neuroimaging about the neural mechanisms of vigilant attention, that is, our ability to stay focused on simple, intellectually unchallenging tasks. To this end, a quantitative meta-analysis of pertinent neuroimaging studies was performed, identifying a set of mainly right-lateralized brain regions that may form the core network subserving vigilant attention in humans. This network included dorsomedial, mid- and ventrolateral prefrontal cortex, anterior insula, parietal areas (intraparietal sulcus, temporoparietal junction), and subcortical structures (cerebellar vermis, thalamus, putamen, midbrain). This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:36:12.889083Z					http://anima.modelgui.org/studies/Langner_SustainedAttention_2013															839								Psychological Bulletin					2015-12-23T20:03:07.664699Z					Sustaining attention to simple tasks: A meta-analytic review of the neural mechanisms of vigilant attention.												555	ANIMA	http://doi.apa.org/getdoi.cfm?doi=10.1037/a0030694																							http://neurovault.org/collections/839/												
253	10.1371/journal.pone.0120988	AC-PC	2016-01-13T12:19:57.601435Z	Daniele Mascali, Mauro DiNuzzo, Tommaso Gili, Marta Moraschi, Michela Fratini, Bruno Maraviglia, Laura Serra, Marco Bozzali, Federico Giove and Emmanuel Andreas Stamatakis				mni	"Statistical T-maps from Figure 1,3 and 4 of the paper:
""Intrinsic Patterns of Coupling between Correlation and Amplitude of Low-Frequency fMRI Fluctuations Are Disrupted in Degenerative Dementia Mainly due to Functional Disconnection""


"	2016-01-13T12:19:57.600965Z	30.0		3.0	70.0	https://dataverse.harvard.edu/dataverse/restAD	True		True					General liner model	custom 	False					1088			SPM	linear				PLOS ONE		440.0		4096.0	2016-01-13T12:34:03.384243Z					Intrinsic Patterns of Coupling between Correlation and Amplitude of Low-Frequency fMRI Fluctuations Are Disrupted in Degenerative Dementia Mainly due to Functional Disconnection		1.0	220.0		30.0							884	danielem	http://dx.plos.org/10.1371/journal.pone.0120988		0.57	 echo planar imaging		2080.0	2.0	Siemens	Allegra	1.25	2.5		8.0	Gaussian kernel	SPM	8							other	http://neurovault.org/collections/1088/	False			True	True		False			True	True	
