	CIAS	add_date	analysis_level	brain_coverage	cognitive_contrast_cogatlas	cognitive_contrast_cogatlas_id	cognitive_paradigm_cogatlas	cognitive_paradigm_cogatlas_id	collection	collection_id	contrast_definition	contrast_definition_cogatlas	description	figure	file	file_size	collection_id	image_type	is_thresholded	map_type	modality	modify_date	name	not_mni	perc_bad_voxels	perc_voxels_outside	reduced_representation	smoothness_fwhm	statistic_parameters	thumbnail	type	url	image_id
290		2015-09-25T21:07:46.136212Z		74.6118505606	proportion of correct responses	cnt_5021ae2c2ab3c	logical reasoning task	trm_4f24154867d84	857	857					http://neurovault.org/media/images/857/zstat1_8.nii.gz	201023	12493	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T08:06:58.452131Z	LetterSet	False	80.0679012346	2.23947042428	http://neurovault.org/media/images/857/transform_4mm_12493.npy	5.0		http://neurovault.org/media/images/857/glass_brain_12493.jpg		http://neurovault.org/images/12493/	12493
291		2015-09-25T21:09:50.163192Z		76.1910389553	remembered minus forgotten	cnt_553ec692268ca	semantic memory task	trm_4f241c0737cc0	857	857	Activation vs Rest				http://neurovault.org/media/images/857/zstat1_9.nii.gz	205519	12494	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T11:03:16.915388Z	LogicalMemory	False	79.5582561728	2.65924318203	http://neurovault.org/media/images/857/transform_4mm_12494.npy	5.0		http://neurovault.org/media/images/857/glass_brain_12494.jpg		http://neurovault.org/images/12494/	12494
293		2015-09-25T20:51:15.079672Z		76.8779637481	Other	Other	episodic recall	trm_4c898c8bf1b4f	857	857	Activation vs Rest				http://neurovault.org/media/images/857/zstat1_1.nii.gz	208605	12486	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T10:57:29.364371Z	Synonyms	False	79.3398919753	2.81974192826	http://neurovault.org/media/images/857/transform_4mm_12486.npy	5.0		http://neurovault.org/media/images/857/glass_brain_12486.jpg		http://neurovault.org/images/12486/	12486
294		2015-09-25T20:57:21.672620Z		76.34319649	number correct	cnt_50eb1b6d46337	pattern comparison task	trm_4da86cb034ff6	857	857	number correct				http://neurovault.org/media/images/857/zstat1_4.nii.gz	207013	12489	statistic_map	False	Z map	fMRI-BOLD	2016-01-01T05:36:21.758506Z	LetterComparison	False	79.4849537037	2.73469848679	http://neurovault.org/media/images/857/transform_4mm_12489.npy	5.0		http://neurovault.org/media/images/857/glass_brain_12489.jpg		http://neurovault.org/images/12489/	12489
302		2014-06-04T15:08:16.314488Z	group	95.5064490575	probabilistic classification trials	cnt_4cacf26718047	Probabilistic classification task	trm_4cacf22a22d80	40	40	task		FSL5.0		http://neurovault.org/media/images/40/task001_cope01_task.nii.gz	878402	141	statistic_map	False	T map	fMRI-BOLD	2015-12-23T19:43:19.476251Z	task001_001_task.nii.gz	False	74.7205108633	12.9680813302	http://neurovault.org/media/images/40/transform_4mm_141.npy			http://neurovault.org/media/images/40/glass_brain_141_1.jpg		http://neurovault.org/images/141/	141
303		2014-06-04T15:08:16.192523Z	group	95.6022986393	deterministic classification trials	cnt_4ebca72d737c1	deterministic classification	trm_4e8dd3831f0cc	40	40	task		FSL5.0		http://neurovault.org/media/images/40/task002_cope01_task.nii.gz	878329	135	statistic_map	False	T map	fMRI-BOLD	2015-12-23T09:15:11.189156Z	task002_001_task.nii.gz	False	74.7239452754	13.021924201	http://neurovault.org/media/images/40/transform_4mm_135.npy			http://neurovault.org/media/images/40/glass_brain_135.jpg		http://neurovault.org/images/135/	135
304		2014-06-04T15:08:16.254662Z	group	95.6022986393	feedback	cnt_55399dc274d97	deterministic classification	trm_4e8dd3831f0cc	40	40	feedback		FSL5.0		http://neurovault.org/media/images/40/task002_cope02_feedback.nii.gz	874675	138	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:44.530910Z	task002_002_feedback.nii.gz	False	74.7239452754	13.021924201	http://neurovault.org/media/images/40/transform_4mm_138.npy			http://neurovault.org/media/images/40/glass_brain_138.jpg		http://neurovault.org/images/138/	138
305		2014-06-04T15:08:16.296345Z	group	95.5725371253	classification trials: probabilistic	cnt_4ebcaad4c41d7	classification probe without feedback	trm_4ebc9d2e397f2	40	40	classification-probabilistic		FSL5.0		http://neurovault.org/media/images/40/task003_cope01_classification-probabilistic.nii.gz	877294	140	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:51.822469Z	task003_001_task.nii.gz	False	74.747432223	12.8814505994	http://neurovault.org/media/images/40/transform_4mm_140.npy			http://neurovault.org/media/images/40/glass_brain_140.jpg		http://neurovault.org/images/140/	140
306		2014-06-04T15:08:16.212524Z	group	95.5064490575	feedback	cnt_55399e161c884	Probabilistic classification task	trm_4cacf22a22d80	40	40	feedback		FSL5.0		http://neurovault.org/media/images/40/task001_cope02_feedback.nii.gz	874740	136	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:51.989575Z	task001_002_feedback.nii.gz	False	74.7205108633	12.9680813302	http://neurovault.org/media/images/40/transform_4mm_136.npy			http://neurovault.org/media/images/40/glass_brain_136.jpg		http://neurovault.org/images/136/	136
307		2014-06-04T15:08:16.277337Z	group	95.5725371253	classification trials: deterministic	cnt_54f8cbcb6fab6	classification probe without feedback	trm_4ebc9d2e397f2	40	40	classification-deterministic		FSL5.0		http://neurovault.org/media/images/40/task003_cope02_classification-deterministic.nii.gz	877829	139	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:43.904094Z	task003_002_classification_deterministic.nii.gz	False	74.747432223	12.8814505994	http://neurovault.org/media/images/40/transform_4mm_139.npy			http://neurovault.org/media/images/40/glass_brain_139.jpg		http://neurovault.org/images/139/	139
310		2014-06-04T15:34:49.337475Z	group	100.0	congruent correct	cnt_4decfedb91973	Eriksen flanker task	tsk_4a57abb949a4f	45	45	congruent correct		FSL5.0		http://neurovault.org/media/images/45/task001_cope01_congruent_correct.nii.gz	870247	183	statistic_map	False	T map	fMRI-BOLD	2015-12-23T07:30:43.622254Z	task001_001_congruent_correct.nii.gz	False	74.6869422542	0.0	http://neurovault.org/media/images/45/transform_4mm_183.npy			http://neurovault.org/media/images/45/glass_brain_183.jpg		http://neurovault.org/images/183/	183
311		2014-06-04T15:34:49.218913Z	group	100.0	incorrect minus correct	cnt_553a694a86e65	Eriksen flanker task	tsk_4a57abb949a4f	45	45	incorrect minus correct		FSL5.0		http://neurovault.org/media/images/45/task001_cope08_incorrect_vs_correct.nii.gz	866309	177	statistic_map	False	T map	fMRI-BOLD	2015-12-23T10:04:26.502796Z	task001_008_incorrect_vs_correct.nii.gz	False	74.6869422542	0.0	http://neurovault.org/media/images/45/transform_4mm_177.npy			http://neurovault.org/media/images/45/glass_brain_177.jpg		http://neurovault.org/images/177/	177
313		2014-06-04T15:34:49.240212Z	group	100.0	incongruent minus congruent correct	cnt_5358f019cdf06	Eriksen flanker task	tsk_4a57abb949a4f	45	45	incongruent minus congruent correct		FSL5.0		http://neurovault.org/media/images/45/task001_cope09_incongruent_vs_congruent_correct.nii.gz	869300	178	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:33.364574Z	task001_009_incongruent_vs_congruent_correct.nii.gz	False	74.6869422542	0.0	http://neurovault.org/media/images/45/transform_4mm_178.npy			http://neurovault.org/media/images/45/glass_brain_178.jpg		http://neurovault.org/images/178/	178
343		2015-10-01T20:12:23.174327Z		98.3845625276	None / Other	None	None / Other	None	860	860			FSL5.0	Figure 1	http://neurovault.org/media/images/860/melodic_IC_0007.nii.gz	906299	12551	statistic_map	False	Z map	Structural MRI	2015-12-23T11:01:57.954657Z	melodic IC 0007 (PD-ICA)	False	79.7727481316	4.67563968823	http://neurovault.org/media/images/860/transform_4mm_12551.npy			http://neurovault.org/media/images/860/glass_brain_12551.jpg		http://neurovault.org/images/12551/	12551
386		2015-03-07T16:33:04.417193Z	group	92.0256649291	parametric context based action reward error	cnt_553fc50126261	dot motion task	trm_4f244ad7dcde7	431	431	context based action reward error			Figure 4	http://neurovault.org/media/images/431/figure4_context_based.nii.gz	882342	2963	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T14:23:38.482161Z	context based action reward error	False	74.3391803277	9.2214901866	http://neurovault.org/media/images/431/transform_4mm_2963.npy			http://neurovault.org/media/images/431/glass_brain_2963.jpg		http://neurovault.org/images/2963/	2963
389		2015-03-07T16:32:59.024545Z	group	92.0256649291	parametric acquired bias	cnt_553fc4f4362c1	dot motion task	trm_4f244ad7dcde7	431	431			The maps show the brain areas whose activation positively correlates with the amount of acquired bias on each trial.	Figure 3	http://neurovault.org/media/images/431/figure3.nii.gz	875973	2959	statistic_map	False	Z map	fMRI-BOLD	2015-12-23T04:33:00.852542Z	acquired bias	False	74.3391803277	9.2214901866	http://neurovault.org/media/images/431/transform_4mm_2959.npy			http://neurovault.org/media/images/431/glass_brain_2959_1.jpg		http://neurovault.org/images/2959/	2959
391		2015-12-22T07:36:18.604005Z		70.3341013825	None / Other	None	None / Other	None	1030	1030			The parametrically modulated moment of feedback via the prediction error versus baseline (0),	Figure 3	http://neurovault.org/media/images/1030/soccer_RPE_0.nii.gz	192355	14035	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:32.543896Z	Soccer paradigm: reward prediction error (RPE) versus baseline (0)	False	65.9422387648	6.09783246645	http://neurovault.org/media/images/1030/transform_4mm_14035.npy			http://neurovault.org/media/images/1030/glass_brain_14035.jpg		http://neurovault.org/images/14035/	14035
392		2015-12-22T07:45:45.651172Z		63.127577007	None / Other	None	None / Other	None	1030	1030			Contrast of the parametrically modulated feedback versus baseline (0). The parametrical modulation was done using the reward prediction error.	Figure 3	http://neurovault.org/media/images/1030/monetary_RPE_0.nii.gz	171468	14038	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:35.625008Z	Monetary paradigm: reward prediction error (RPE) versus baseline (0)	False	69.9131513648	4.59564719359	http://neurovault.org/media/images/1030/transform_4mm_14038.npy			http://neurovault.org/media/images/1030/glass_brain_14038.jpg		http://neurovault.org/images/14038/	14038
393		2015-12-22T07:39:08.564543Z		63.127577007	None / Other	None	None / Other	None	1030	1030			Contrast of the moment when getting the feedback of having won 10 Cents or not.	Figure 3	http://neurovault.org/media/images/1030/monetary_win_nowin.nii.gz	172007	14036	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:35.164920Z	Monetary paradigm: winning versus not winning money	False	69.9131513648	4.59564719359	http://neurovault.org/media/images/1030/transform_4mm_14036.npy			http://neurovault.org/media/images/1030/glass_brain_14036.jpg		http://neurovault.org/images/14036/	14036
394		2015-12-22T07:31:49.577350Z		70.3341013825	None / Other	None	None / Other	None	1030	1030			Contrast of soccer players getting a feedback of having scored or having missed the goal.	Figure 3	http://neurovault.org/media/images/1030/soccer_goal_miss.nii.gz	192454	14033	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:30.258079Z	Soccer paradigm: goal versus miss	False	65.9422387648	6.09783246645	http://neurovault.org/media/images/1030/transform_4mm_14033.npy			http://neurovault.org/media/images/1030/glass_brain_14033.jpg		http://neurovault.org/images/14033/	14033
395		2015-12-22T07:41:39.464372Z		63.127577007	None / Other	None	None / Other	None	1030	1030			Contrast of the time point of choosing the square under which the participant things the ball is hidden (if he gets it right, he wins money). Parametricall modulated by the chance to win.	Figure 3	http://neurovault.org/media/images/1030/monetary_RA_0.nii.gz	171781	14037	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:35.635036Z	Monetary paradigm: reward anticipation versus baseline (0)	False	69.9131513648	4.59564719359	http://neurovault.org/media/images/1030/transform_4mm_14037.npy			http://neurovault.org/media/images/1030/glass_brain_14037.jpg		http://neurovault.org/images/14037/	14037
396		2015-12-22T07:33:47.052763Z		70.3341013825	None / Other	None	None / Other	None	1030	1030			Contrast of the moment when participants decide to shoot or pass the ball versus baseline (0). Parametrically modulated by the chance of scoring (these values were assessed beforehand, please see paper for further details),	Figure 3	http://neurovault.org/media/images/1030/soccer_RA_0.nii.gz	193465	14034	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:34.694043Z	Soccer paradigm: reward anticipation (RA) versus baseline (0)	False	65.9422387648	6.09783246645	http://neurovault.org/media/images/1030/transform_4mm_14034.npy			http://neurovault.org/media/images/1030/glass_brain_14034.jpg		http://neurovault.org/images/14034/	14034
397		2015-12-22T07:48:29.216689Z		63.6308513219	None / Other	None	None / Other	None	1030	1030			Contrast of scoring after a pass versus after a shot. This was important to do the covariate analysis using the egoism assessment as measured via the Honesty-Humility scale of the HEXACO PI-R 200.	Figure 4	http://neurovault.org/media/images/1030/soccer_goalpass_goalshoot.nii.gz	164035	14039	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:03:36.034138Z	Soccer paradigm: scoring after a pass versus scoring after a shot	False	70.7168458781	1.1957442802	http://neurovault.org/media/images/1030/transform_4mm_14039.npy			http://neurovault.org/media/images/1030/glass_brain_14039.jpg		http://neurovault.org/images/14039/	14039
628		2014-01-02T20:59:49.344007Z	group	60.6624279166	Other	Other	contextual semantic priming task	trm_553e73e29cf7d	25	25	covariation with RT		Regions showing a positive correlation between RT and BOLD response. 		http://neurovault.org/media/images/25/spmT_0001.nii.gz	162798	88	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:41.871413Z	Covariation with RT	False	76.89684046	0.872254572692	http://neurovault.org/media/images/25/transform_4mm_88.npy			http://neurovault.org/media/images/25/glass_brain_88.jpg		http://neurovault.org/images/88/	88
631		2014-10-03T23:17:32.438028Z	group	67.273399379	congruent minus scrambled	cnt_55413a13ad2fb	contextual semantic priming task	trm_553e73e29cf7d	160	160			An experimental contrast targeting predictability in language processing. Last word of a coherent 5-word sentence contrasted over the last word in a random sequence of words. Activation map across 10 patients with focal cerebellar lesions.		http://neurovault.org/media/images/160/spmT_0003.nii.gz	181672	754	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:42.545399Z	Congruent>Scrambled patients	False	74.3870715641	0.841270187215	http://neurovault.org/media/images/160/transform_4mm_754.npy			http://neurovault.org/media/images/160/glass_brain_754.jpg		http://neurovault.org/images/754/	754
632		2014-10-01T13:01:44.800223Z	group	67.273399379	scrambled minus letter string	cnt_55413a0769113	contextual semantic priming task	trm_553e73e29cf7d	160	160	reading of meaningful words presented in random order - viewing of meaningless letter stings (consonants) 		An experimental contrast targeting basic language processing. The last word in a random sequence of words contrasted over the last of a sequence of five letter strings (consonants). Activation map across 10 healthy young controls.		http://neurovault.org/media/images/160/spmT_0002_2.nii.gz	181393	735	statistic_map	False	T map	fMRI-BOLD	2015-12-23T04:30:43.313146Z	Scrambled>Letterstrings controls	False	74.3870715641	0.841270187215	http://neurovault.org/media/images/160/transform_4mm_735.npy			http://neurovault.org/media/images/160/glass_brain_735.jpg		http://neurovault.org/images/735/	735
633		2014-10-02T10:25:54.219427Z	group	67.273399379	scrambled minus letter string	cnt_55413a0769113	contextual semantic priming task	trm_553e73e29cf7d	160	160			An experimental contrast targeting basic language processing. The last word in a random sequence of words contrasted over the last of a sequence of five letter strings (consonants). Activation map across 10 patients with focal cerebellar lesions.		http://neurovault.org/media/images/160/Con2_patients.nii.gz	177373	743	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:01:13.377506Z	Scrambled>Letterstrings patients	False	74.3870715641	0.841270187215	http://neurovault.org/media/images/160/transform_4mm_743.npy			http://neurovault.org/media/images/160/glass_brain_743.jpg		http://neurovault.org/images/743/	743
634		2014-10-03T23:47:01.444617Z	group	67.2778352802	incongruent minus scrambled	cnt_55413a3228c77	contextual semantic priming task	trm_553e73e29cf7d	160	160			An alternative experimental contrast targeting prediction violations in language processing. Incongruent last word of a 5-word sentence contrasted over the last word of a random 5-word sequence of words. Activation map across 10 healthy young controls.		http://neurovault.org/media/images/160/spmT_0002_4.nii.gz	182437	763	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:01:13.348089Z	Incongruent>Scrambled controls	False	74.3853968963	0.84121518546	http://neurovault.org/media/images/160/transform_4mm_763.npy			http://neurovault.org/media/images/160/glass_brain_763.jpg		http://neurovault.org/images/763/	763
635		2014-10-02T11:04:28.560976Z	group	67.273399379	scrambled minus letter string	cnt_55413a0769113	contextual semantic priming task	trm_553e73e29cf7d	160	160			An experimental contrast targeting basic language processing. The last word in a random sequence of words contrasted over the last of a sequence of five letter strings (consonants). Areas showing increased activation in controls relative to patients.		http://neurovault.org/media/images/160/spmT_0001_2.nii.gz	182134	744	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:32.289773Z	Scrambled>Letterstrings controls>patients	False	74.3870715641	0.841270187215	http://neurovault.org/media/images/160/transform_4mm_744.npy			http://neurovault.org/media/images/160/glass_brain_744.jpg		http://neurovault.org/images/744/	744
636		2014-10-03T23:30:51.018977Z	group	67.273399379	incongruent minus congruent	cnt_55413a264f834	contextual semantic priming task	trm_553e73e29cf7d	160	160			An experimental contrast targeting prediction violations in language processing. Incongruent last word of a 5-word sentence contrasted over the congruent last word of a 5-word sentence. Activation map across 10 healthy young controls.		http://neurovault.org/media/images/160/spmT_0002_3.nii.gz	182414	756	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:38.653295Z	Incongruent>Congruent controls	False	74.3870715641	0.841270187215	http://neurovault.org/media/images/160/transform_4mm_756.npy			http://neurovault.org/media/images/160/glass_brain_756.jpg		http://neurovault.org/images/756/	756
637		2014-10-03T23:33:35.616357Z	group	67.273399379	incongruent minus congruent	cnt_55413a264f834	contextual semantic priming task	trm_553e73e29cf7d	160	160			An experimental contrast targeting prediction violations in language processing. Incongruent last word of a 5-word sentence contrasted over the congruent last word of a 5-word sentence. Areas showing increased activation in controls relative to patients.		http://neurovault.org/media/images/160/spmT_0001_4.nii.gz	181950	758	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:41.915242Z	Incongruent>Congruent controls>patients	False	74.3870715641	0.841270187215	http://neurovault.org/media/images/160/transform_4mm_758.npy			http://neurovault.org/media/images/160/glass_brain_758.jpg		http://neurovault.org/images/758/	758
638		2014-10-03T23:48:11.488253Z	group	67.2778352802	incongruent minus scrambled	cnt_55413a3228c77	contextual semantic priming task	trm_553e73e29cf7d	160	160			An alternative experimental contrast targeting prediction violations in language processing. Incongruent last word of a 5-word sentence contrasted over the last word of a random 5-word sequence of words. Activation map across 10 patients with focal cerebellar lesions.		http://neurovault.org/media/images/160/spmT_0003_2.nii.gz	181386	764	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:01:14.831204Z	Incongruent>Scrambled patients	False	74.3853968963	0.84121518546	http://neurovault.org/media/images/160/transform_4mm_764.npy			http://neurovault.org/media/images/160/glass_brain_764.jpg		http://neurovault.org/images/764/	764
639		2014-10-03T23:32:09.533163Z	group	67.273399379	incongruent minus congruent	cnt_55413a264f834	contextual semantic priming task	trm_553e73e29cf7d	160	160			An experimental contrast targeting prediction violations in language processing. Incongruent last word of a 5-word sentence contrasted over the congruent last word of a 5-word sentence. Activation map across 10 patients with focal cerebellar lesions.		http://neurovault.org/media/images/160/spmT_0003_1.nii.gz	182119	757	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:01:20.204688Z	Incongruent>Congruent patients	False	74.3870715641	0.841270187215	http://neurovault.org/media/images/160/transform_4mm_757.npy			http://neurovault.org/media/images/160/glass_brain_757.jpg		http://neurovault.org/images/757/	757
640		2014-10-03T23:28:08.809141Z	group	67.273399379	congruent minus scrambled	cnt_55413a13ad2fb	contextual semantic priming task	trm_553e73e29cf7d	160	160			An experimental contrast targeting predictability in language processing. Last word of a coherent 5-word sentence contrasted over the last word in a random sequence of words. Areas showing increased activation in controls relative to patients.		http://neurovault.org/media/images/160/spmT_0001_3.nii.gz	181198	755	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:36.195932Z	Congruent>Scrambled controls>patients	False	74.3870715641	0.841270187215	http://neurovault.org/media/images/160/transform_4mm_755.npy			http://neurovault.org/media/images/160/glass_brain_755.jpg		http://neurovault.org/images/755/	755
641		2014-10-03T23:17:32.424927Z	group	67.273399379	congruent minus scrambled	cnt_55413a13ad2fb	contextual semantic priming task	trm_553e73e29cf7d	160	160			An experimental contrast targeting predictability in language processing. Last word of a coherent 5-word sentence contrasted over the last word in a random sequence of words. Activation map across 10 healthy young controls.		http://neurovault.org/media/images/160/spmT_0002_1.nii.gz	182422	753	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:01:13.936815Z	Congruent>Scrambled controls	False	74.3870715641	0.841270187215	http://neurovault.org/media/images/160/transform_4mm_753.npy			http://neurovault.org/media/images/160/glass_brain_753.jpg		http://neurovault.org/images/753/	753
685		2015-03-05T20:51:30.358478Z	group	99.9164051592	visual standard stimulus presentation	cnt_553a7710d845a	oddball task	tsk_4a57abb949bf6	417	417	visual standard		FSL5.0		http://neurovault.org/media/images/417/model001_task002_cope006_tstat1.nii.gz	870735	2718	statistic_map	False	T map	fMRI-BOLD	2015-12-23T13:16:35.085935Z	model001 task002 cope006 tstat1	False	74.7081026645	0.0	http://neurovault.org/media/images/417/transform_4mm_2718.npy			http://neurovault.org/media/images/417/glass_brain_2718.jpg		http://neurovault.org/images/2718/	2718
688		2015-03-05T20:51:40.170829Z	group	99.9164051592	visual targets minus standards	cnt_553a7740160a3	oddball task	tsk_4a57abb949bf6	417	417	visual targets - standards		FSL5.0		http://neurovault.org/media/images/417/model001_task002_cope005_tstat1.nii.gz	878248	2731	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:01:27.167224Z	model001 task002 cope005 tstat1	False	74.7081026645	0.0	http://neurovault.org/media/images/417/transform_4mm_2731.npy			http://neurovault.org/media/images/417/glass_brain_2731.jpg		http://neurovault.org/images/2731/	2731
698		2015-03-05T20:51:38.706233Z	group	99.9562330677	auditory targets minus standards	cnt_553a768dc270f	oddball task	tsk_4a57abb949bf6	417	417	auditory targets - standards		FSL5.0		http://neurovault.org/media/images/417/model001_task001_cope008_tstat1.nii.gz	877141	2729	statistic_map	False	T map	fMRI-BOLD	2015-12-23T11:00:32.924361Z	model001 task001 cope008 tstat1	False	74.6980210031	0.0	http://neurovault.org/media/images/417/transform_4mm_2729.npy			http://neurovault.org/media/images/417/glass_brain_2729.jpg		http://neurovault.org/images/2729/	2729
